140;air_base;3008.23;10.00;1717.42;4.37;0
140;naval_base;2981.00;9.50;1713.00;-1.57;0
140;bunker;2984.00;9.90;1705.00;3.99;0
140;bunker;3009.00;10.90;1745.00;1.48;0
140;bunker;3024.00;9.50;1717.00;0.43;0
200;naval_base;3355.00;9.50;1445.00;0.54;0
200;bunker;3356.00;9.70;1453.00;1.55;0
200;coastal_bunker;3355.00;9.50;1445.00;0.54;0
200;dockyard;3368.00;9.50;1451.00;0.79;0
140;rocket_site;3025.00;9.55;1712.00;1.25;0
160;bunker;3009.00;9.68;1434.00;4.05;0
160;rocket_site;3000.00;13.45;1447.00;5.67;0
140;radar_station;3008.00;9.80;1716.00;3.63;0
140;fuel_silo;3009.00;11.05;1747.00;5.73;0
200;fuel_silo;3364.00;9.70;1456.00;2.80;0
140;supply_node;2984.00;9.85;1704.00;5.40;0
140;supply_node;3009.00;10.80;1739.00;0.84;0
140;supply_node;3012.00;10.40;1727.00;4.42;0
160;supply_node;3010.00;10.10;1443.00;4.45;0
200;supply_node;3354.00;9.70;1449.00;6.27;0
5;floating_harbor;3106.40;9.50;1613.20;0.93;6402
6;floating_harbor;2854.00;9.50;1551.00;1.18;6598
12;floating_harbor;3178.00;9.50;1681.00;1.57;9317
13;floating_harbor;3179.14;9.50;1690.63;-4.51;11291
14;floating_harbor;2775.00;9.50;1497.00;0.00;11508
15;floating_harbor;2799.70;9.50;1510.79;-0.24;11535
22;floating_harbor;2874.13;9.50;1381.05;-3.27;11877
23;floating_harbor;2771.18;9.50;1444.12;-4.12;11600
30;floating_harbor;2766.14;9.50;1461.37;1.37;11616
35;floating_harbor;2858.74;9.50;1552.13;1.11;9431
36;floating_harbor;2912.00;9.50;1594.00;0.00;11318
37;floating_harbor;3003.50;9.50;1626.40;-1.95;6393
38;floating_harbor;3080.90;9.50;1766.85;-1.74;11147
44;floating_harbor;3103.18;9.50;1324.12;-4.12;11767
46;floating_harbor;3261.00;9.50;1402.40;-2.11;9635
47;floating_harbor;3192.00;9.50;1315.00;-0.90;7127
56;floating_harbor;2912.05;9.50;1594.95;0.79;11360
59;floating_harbor;2930.00;9.50;1608.00;0.91;6349
61;floating_harbor;2982.70;9.50;1606.79;-0.24;11305
63;floating_harbor;3059.80;9.50;1617.60;0.64;11372
100;floating_harbor;2537.37;9.50;1863.19;-3.38;12689
101;floating_harbor;2180.93;9.50;1959.96;-1.43;13066
103;floating_harbor;3034.36;9.50;1409.21;1.25;11901
105;floating_harbor;3093.87;9.50;1360.74;-3.61;9821
110;floating_harbor;2972.74;9.50;1710.87;-4.25;11151
111;floating_harbor;3164.79;9.50;1725.36;-3.46;11211
113;floating_harbor;2707.00;9.50;1600.00;-1.57;11293
115;floating_harbor;3018.13;9.50;1294.26;-0.46;10074
116;floating_harbor;3022.05;9.50;1254.95;0.79;12003
117;floating_harbor;3016.53;9.50;1338.63;-4.04;9826
118;floating_harbor;2724.95;9.50;1247.05;-2.36;4135
119;floating_harbor;2708.13;9.50;1634.26;-0.46;3379
121;floating_harbor;2758.37;9.50;1662.86;-0.20;11378
122;floating_harbor;2717.40;9.50;1556.50;-3.52;11361
123;floating_harbor;2721.05;9.50;1553.95;0.79;11406
124;floating_harbor;3083.63;9.50;1681.47;0.67;6258
125;floating_harbor;2822.00;9.50;1598.00;-1.11;3287
126;floating_harbor;2819.00;9.50;1562.00;-1.49;11374
127;floating_harbor;2819.00;9.50;1562.00;-1.29;13070
130;floating_harbor;2791.82;9.50;1625.88;-0.98;11317
